Country,Year,continent,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,cpi_score
Denmark,2015,EU,7.521999836,1.482383013,1.551121593,0.792565525,0.626006722,0.355280489,0.400770068,91
New Zealand,2015,AU,7.31400013,1.405706048,1.548195124,0.816759706,0.61406213,0.500005126,0.382816702,91
Finland,2015,EU,7.468999863,1.443571925,1.540246725,0.80915767,0.617950857,0.245482773,0.382611543,90
Sweden,2015,EU,7.28399992,1.494387269,1.478162169,0.830875158,0.612924099,0.385399252,0.384398729,89
Norway,2015,EU,7.537000179,1.616463184,1.53352356,0.796666503,0.635422587,0.362012237,0.315963835,88
Switzerland,2015,EU,7.493999958,1.564979553,1.516911745,0.858131289,0.620070577,0.290549278,0.367007285,86
Luxembourg,2015,EU,6.862999916,1.741943598,1.457583666,0.845089495,0.596627891,0.283180982,0.318834424,85
Singapore,2015,AS,6.572000027,1.69227767,1.353814363,0.949492395,0.549840569,0.345965981,0.464307785,85
Netherlands,2015,EU,7.376999855,1.503944635,1.428939223,0.810696125,0.585384488,0.47048983,0.282661825,84
Canada,2015,NA,7.315999985,1.479204416,1.481348991,0.834557652,0.611100912,0.435539722,0.287371516,83
Germany,2015,EU,6.951000214,1.487923384,1.472520351,0.798950732,0.562511384,0.33626917,0.276731938,81
United Kingdom,2015,EU,6.714000225,1.44163394,1.49646008,0.805335939,0.508190036,0.492774159,0.265428066,81
Australia,2015,AU,7.28399992,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373,79
Iceland,2015,EU,7.504000187,1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,0.153526559,79
Belgium,2015,EU,6.890999794,1.463780761,1.462312698,0.818091869,0.539770722,0.231503338,0.251343131,77
Austria,2015,EU,7.006000042,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,76
United States,2015,NA,6.993000031,1.546259284,1.419920564,0.774286628,0.505740523,0.392578781,0.135638788,76
Ireland,2015,EU,6.977000237,1.535706639,1.558231115,0.809782624,0.573110342,0.427858323,0.298388153,75
Japan,2015,AS,5.920000076,1.416915178,1.436337829,0.913475871,0.505625546,0.120572768,0.163760737,75
Uruguay,2015,SA,6.453999996,1.217559695,1.412227869,0.719216824,0.579392254,0.175096929,0.178061873,74
Chile,2015,SA,6.65199995,1.25278461,1.284024954,0.819479704,0.376895279,0.326662421,0.082287982,70
Estonia,2015,EU,5.611000061,1.32087934,1.4766711,0.695168316,0.47913143,0.098890811,0.183248922,70
